01-03-2023 13:53,10347,0,404.05,426.94,428.43,452.32,444.19
01-03-2023 13:54,10348,0,394.46,404.02,414.68,458.94,439.88
01-03-2023 13:54,10349,0,427.88,437.95,389.31,403.03,434.06
01-03-2023 13:54,10350,0,394.38,456.33,390.52,421.55,431.68
01-03-2023 13:54,10351,0,432.95,389.8,430.44,404.18,429.77
01-03-2023 13:54,10352,0,402.41,444.43,448.38,431.17,401.2
01-03-2023 13:54,10353,0,397.67,396.29,426.5,412.77,444.3
01-03-2023 13:55,10354,0,392.37,404.28,418.2,453.62,406.95
01-03-2023 13:55,10355,0,404.91,451.18,455.42,459.28,419.89
06-04-2023 10:49,10570,0,453,455,456,455,456
06-04-2023 11:19,10571,0,454,454,454,454,454
06-04-2023 11:21,10572,0,452,452,452,452,452
06-04-2023 11:23,10573,0,450,450,450,450,450
06-04-2023 11:24,10574,0,447,447,447,447,447
06-04-2023 11:33,10575,0,445,445,445,445,445
06-04-2023 11:37,10576,0,440,440,440,440,440
06-04-2023 11:41,10577,0,437,437,437,437,437
06-04-2023 11:47,10578,0,422,422,422,422,422
06-04-2023 11:57,10579,0,412,412,412,412,412
06-04-2023 12:00,10580,0,427,427,427,427,427
06-04-2023 12:03,10581,0,434,434,434,434,434
06-04-2023 12:05,10582,0,440,440,440,440,440
06-04-2023 12:19,10583,0,427,427,427,427,427
06-04-2023 12:20,10584,0,451,451,451,451,451
07-04-2023 14:37,10586,0,451,451,451,451,451
